Code,Site,Pair,Fenceence/UnfnFence,Transect #,Segment,SqMSampled,TickCount,All_BL_Ticks,BL_Adults,BL_Nymphs,BL_Larva,All_Dg_Ticks,Dg_Adults,Dg_Nymphs,Dg_Larva,All_ALH_Ticks,ALH_Adults,ALH_Nymphs,ALH_Larva,Collectors,Iders,Temp,RH,DampDry,CloudCover,notes
122e,MRG,1,UnfnFence,2,e,9.00,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
122f,MRG,1,UnfnFence,2,f,10.00,1,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,
123a,MRG,1,UnfnFence,3,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,Cliff/Lanier,,,,,,
123b,MRG,1,UnfnFence,3,b,10.00,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
123c,MRG,1,UnfnFence,3,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
123d,MRG,1,UnfnFence,3,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
123e,MRG,1,UnfnFence,3,e,9.67,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
123f,MRG,1,UnfnFence,3,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
124a,MRG,1,UnfnFence,4,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,Rachel/Jean-Luc,,,,,,
124b,MRG,1,UnfnFence,4,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
124c,MRG,1,UnfnFence,4,c,10.00,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
124d,MRG,1,UnfnFence,4,d,10.00,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
124e,MRG,1,UnfnFence,4,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
124f,MRG,1,UnfnFence,4,f,9.00,0,0,0,0,0,0,0,0,0,0,0,0,0,Emily/Tina,,,,,,
120a,MRG,1,Fenceence,0,a,9.50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
120b,MRG,1,Fenceence,0,b,6.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
120c,MRG,1,Fenceence,0,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
120d,MRG,1,Fenceence,0,d,8.50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
120e,MRG,1,Fenceence,0,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
121a,MRG,1,Fenceence,1,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris/Charlotte,,,,,,
121b,MRG,1,Fenceence,1,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
121c,MRG,1,Fenceence,1,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
121d,MRG,1,Fenceence,1,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
121e,MRG,1,Fenceence,1,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
121f,MRG,1,Fenceence,1,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
122a,MRG,1,Fenceence,2,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris/Charlotte,,,,,,
122b,MRG,1,Fenceence,2,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
122c,MRG,1,Fenceence,2,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
122d,MRG,1,Fenceence,2,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
122e,MRG,1,Fenceence,2,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
122f,MRG,1,Fenceence,2,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
123a,MRG,1,Fenceence,3,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris/Charlotte,,,,,,
123b,MRG,1,Fenceence,3,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
123c,MRG,1,Fenceence,3,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
123d,MRG,1,Fenceence,3,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
123e,MRG,1,Fenceence,3,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
123f,MRG,1,Fenceence,3,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
124a,MRG,1,Fenceence,4,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,Emily/Tina,,,,,,
124b,MRG,1,Fenceence,4,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
124c,MRG,1,Fenceence,4,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
124d,MRG,1,Fenceence,4,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,Cliff/Lanier,,,,,,
124e,MRG,1,Fenceence,4,e,10.00,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
124f,MRG,1,Fenceence,4,f,10.00,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
220a,MRG,2,UnfnFence,0,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,Cliff/Lanier,,,,,,
220b,MRG,2,UnfnFence,0,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
220c,MRG,2,UnfnFence,0,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
220d,MRG,2,UnfnFence,0,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
220e,MRG,2,UnfnFence,0,e,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
220f,MRG,2,UnfnFence,0,f,7.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
220g,MRG,2,UnfnFence,0,g,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
220h,MRG,2,UnfnFence,0,h,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
221a,MRG,2,UnfnFence,1,a,9.00,0,0,0,0,0,0,0,0,0,0,0,0,0,Emily/Charlotte,,,,,,
221b,MRG,2,UnfnFence,1,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
221c,MRG,2,UnfnFence,1,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
221d,MRG,2,UnfnFence,1,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
221e,MRG,2,UnfnFence,1,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
221f,MRG,2,UnfnFence,1,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
221g,MRG,2,UnfnFence,1,g,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
221h,MRG,2,UnfnFence,1,h,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
222a,MRG,2,UnfnFence,2,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris/Nichar,,,,,,
222b,MRG,2,UnfnFence,2,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
222c,MRG,2,UnfnFence,2,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
222d,MRG,2,UnfnFence,2,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
222e,MRG,2,UnfnFence,2,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
222f,MRG,2,UnfnFence,2,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
222g,MRG,2,UnfnFence,2,g,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
222h,MRG,2,UnfnFence,2,h,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
223a,MRG,2,UnfnFence,3,a,7.00,0,0,0,0,0,0,0,0,0,0,0,0,0,Rachel/Jean-Luc,,,,,,
223b,MRG,2,UnfnFence,3,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
223c,MRG,2,UnfnFence,3,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
223d,MRG,2,UnfnFence,3,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
223e,MRG,2,UnfnFence,3,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
223f,MRG,2,UnfnFence,3,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
223g,MRG,2,UnfnFence,3,g,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
223h,MRG,2,UnfnFence,3,h,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
220a,MRG,2,Fenceence,0,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
220b,MRG,2,Fenceence,0,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
220c,MRG,2,Fenceence,0,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
220d,MRG,2,Fenceence,0,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
220e,MRG,2,Fenceence,0,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
220f,MRG,2,Fenceence,0,f,9.67,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
220g,MRG,2,Fenceence,0,g,9.67,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
220h,MRG,2,Fenceence,0,h,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
221a,MRG,2,Fenceence,1,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,Emily/Charlotte,,,,,,
221b,MRG,2,Fenceence,1,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
221c,MRG,2,Fenceence,1,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
221d,MRG,2,Fenceence,1,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
221e,MRG,2,Fenceence,1,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
221f,MRG,2,Fenceence,1,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
221g,MRG,2,Fenceence,1,g,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
221h,MRG,2,Fenceence,1,h,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
222a,MRG,2,Fenceence,2,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,Rachel/Jean-Luc,,,,,,
222b,MRG,2,Fenceence,2,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
222c,MRG,2,Fenceence,2,c,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
222d,MRG,2,Fenceence,2,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
222e,MRG,2,Fenceence,2,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
222f,MRG,2,Fenceence,2,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
222g,MRG,2,Fenceence,2,g,10.00,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
222h,MRG,2,Fenceence,2,h,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
223a,MRG,2,Fenceence,3,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris/Nichar,,,,,,
223b,MRG,2,Fenceence,3,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
223c,MRG,2,Fenceence,3,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
223d,MRG,2,Fenceence,3,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
223e,MRG,2,Fenceence,3,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
223f,MRG,2,Fenceence,3,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
223g,MRG,2,Fenceence,3,g,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
223h,MRG,2,Fenceence,3,h,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
YT2Wa,MRG,YT,Trailsiderailside,W,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris/Nichar,,,,,,
YT2Wb,MRG,YT,Trailsiderailside,W,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
YT2Wc,MRG,YT,Trailsiderailside,W,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
YT2Wd,MRG,YT,Trailsiderailside,W,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
YT2We,MRG,YT,Trailsiderailside,W,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
YT2Wf,MRG,YT,Trailsiderailside,W,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
YT2Wg,MRG,YT,Trailsiderailside,W,g,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
YT2Wh,MRG,YT,Trailsiderailside,W,h,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
YT2Ea,MRG,YT,Trailsiderailside,E,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,Cliff/Lanier,,,,,,
YT2Eb,MRG,YT,Trailsiderailside,E,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
YT2Ec,MRG,YT,Trailsiderailside,E,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
YT2Ed,MRG,YT,Trailsiderailside,E,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
YT2Ee,MRG,YT,Trailsiderailside,E,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
YT2Ef,MRG,YT,Trailsiderailside,E,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
YT2Eg,MRG,YT,Trailsiderailside,E,g,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
YT2Eh,MRG,YT,Trailsiderailside,E,h,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
FRd22a,MRG,FRd,Trailsiderailside,2,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,Emily/Charlotte,,,,,,
FRd22b,MRG,FRd,Trailsiderailside,2,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
FRd22c,MRG,FRd,Trailsiderailside,2,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
FRd22d,MRG,FRd,Trailsiderailside,2,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
FRd22e,MRG,FRd,Trailsiderailside,2,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
FRd22f,MRG,FRd,Trailsiderailside,2,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
FRd22g,MRG,FRd,Trailsiderailside,2,g,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
FRd22h,MRG,FRd,Trailsiderailside,2,h,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
FRd23a,MRG,FRd,Trailsiderailside,3,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,Rachel/Jean-Luc,,,,,,
FRd23b,MRG,FRd,Trailsiderailside,3,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
FRd23c,MRG,FRd,Trailsiderailside,3,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
FRd23d,MRG,FRd,Trailsiderailside,3,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
FRd23e,MRG,FRd,Trailsiderailside,3,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
FRd23f,MRG,FRd,Trailsiderailside,3,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
FRd23g,MRG,FRd,Trailsiderailside,3,g,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
FRd23h,MRG,FRd,Trailsiderailside,3,h,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
120a,MRG2,1,UnfnFence,0,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
120b,MRG2,1,UnfnFence,0,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
120c,MRG2,1,UnfnFence,0,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
120d,MRG2,1,UnfnFence,0,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
120e,MRG2,1,UnfnFence,0,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
120f,MRG2,1,UnfnFence,0,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
121a,MRG2,1,UnfnFence,1,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
121b,MRG2,1,UnfnFence,1,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
121c,MRG2,1,UnfnFence,1,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
121d,MRG2,1,UnfnFence,1,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
121e,MRG2,1,UnfnFence,1,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
121f,MRG2,1,UnfnFence,1,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
122a,MRG2,1,UnfnFence,2,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
122b,MRG2,1,UnfnFence,2,b,10.00,2,2,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
122c,MRG2,1,UnfnFence,2,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
122d,MRG2,1,UnfnFence,2,d,10.00,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
122e,MRG2,1,UnfnFence,2,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
122f,MRG2,1,UnfnFence,2,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
123a,MRG2,1,UnfnFence,3,a,10.00,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
123b,MRG2,1,UnfnFence,3,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
123c,MRG2,1,UnfnFence,3,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
123d,MRG2,1,UnfnFence,3,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
123e,MRG2,1,UnfnFence,3,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
123f,MRG2,1,UnfnFence,3,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
124a,MRG2,1,UnfnFence,4,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
124b,MRG2,1,UnfnFence,4,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
124c,MRG2,1,UnfnFence,4,c,10.00,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
124d,MRG2,1,UnfnFence,4,d,10.00,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
124e,MRG2,1,UnfnFence,4,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
124f,MRG2,1,UnfnFence,4,f,10.00,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
120a,MRG2,1,Fenceence,0,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
120b,MRG2,1,Fenceence,0,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
120c,MRG2,1,Fenceence,0,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
120d,MRG2,1,Fenceence,0,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
120e,MRG2,1,Fenceence,0,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
120f,MRG2,1,Fenceence,0,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
121a,MRG2,1,Fenceence,1,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
121b,MRG2,1,Fenceence,1,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
121c,MRG2,1,Fenceence,1,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
121d,MRG2,1,Fenceence,1,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
121e,MRG2,1,Fenceence,1,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
121f,MRG2,1,Fenceence,1,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
122a,MRG2,1,Fenceence,2,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
122b,MRG2,1,Fenceence,2,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
122c,MRG2,1,Fenceence,2,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
122d,MRG2,1,Fenceence,2,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
122e,MRG2,1,Fenceence,2,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
122f,MRG2,1,Fenceence,2,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
123a,MRG2,1,Fenceence,3,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
123b,MRG2,1,Fenceence,3,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
123c,MRG2,1,Fenceence,3,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
123d,MRG2,1,Fenceence,3,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
123e,MRG2,1,Fenceence,3,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
123f,MRG2,1,Fenceence,3,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
124a,MRG2,1,Fenceence,4,a,10.00,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
124b,MRG2,1,Fenceence,4,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
124c,MRG2,1,Fenceence,4,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
124d,MRG2,1,Fenceence,4,d,10.00,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
124e,MRG2,1,Fenceence,4,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
124f,MRG2,1,Fenceence,4,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
220a,MRG2,2,UnfnFence,0,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
220b,MRG2,2,UnfnFence,0,b,10.00,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
220c,MRG2,2,UnfnFence,0,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
220d,MRG2,2,UnfnFence,0,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
220e,MRG2,2,UnfnFence,0,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
220f,MRG2,2,UnfnFence,0,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
220g,MRG2,2,UnfnFence,0,g,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
220h,MRG2,2,UnfnFence,0,h,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
221a,MRG2,2,UnfnFence,1,a,10.00,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
221b,MRG2,2,UnfnFence,1,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
221c,MRG2,2,UnfnFence,1,c,10.00,2,2,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
221d,MRG2,2,UnfnFence,1,d,10.00,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
221e,MRG2,2,UnfnFence,1,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
221f,MRG2,2,UnfnFence,1,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
221g,MRG2,2,UnfnFence,1,g,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
