Species,Common Name,SiteName,SegmCode,Site_location,Pair,Treatm,Transect,Segment,Adults,Nymphs,Larva,Total
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-B,MRG2,1,Unf,0,B,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-B,MRG2,1,Fen,0,B,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-B,MRG2,2,Unf,0,B,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-B,MRG2,2,Fen,0,B,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-B,MRG1,1,Unf,0,B,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-B,MRG1,1,Fen,0,B,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-B,MRG1,2,Fen,0,B,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-B,MRG1,2,Unf,0,B,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Trailside-0-B,MRG1,3,Trailside,0,B,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-B,MRG2,1,Unf,0,B,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-B,MRG2,1,Fen,0,B,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-B,MRG2,2,Unf,0,B,0,1,0,1
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-B,MRG2,2,Fen,0,B,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-C,MRG1,1,Unf,0,C,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-C,MRG1,1,Fen,0,C,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-C,MRG1,2,Fen,0,C,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-C,MRG1,2,Unf,0,C,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Trailside-0-C,MRG1,3,Trailside,0,C,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-C,MRG2,1,Unf,0,C,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-C,MRG2,1,Fen,0,C,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-C,MRG2,2,Unf,0,C,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-C,MRG2,2,Fen,0,C,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-C,MRG1,1,Unf,0,C,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-C,MRG1,1,Fen,0,C,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-C,MRG1,2,Fen,0,C,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-C,MRG1,2,Unf,0,C,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Trailside-0-C,MRG1,3,Trailside,0,C,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-C,MRG2,1,Unf,0,C,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-C,MRG2,1,Fen,0,C,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-C,MRG2,2,Unf,0,C,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-C,MRG2,2,Fen,0,C,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-C,MRG1,1,Unf,0,C,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-C,MRG1,1,Fen,0,C,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-C,MRG1,2,Fen,0,C,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-C,MRG1,2,Unf,0,C,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Trailside-0-C,MRG1,3,Trailside,0,C,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-C,MRG2,1,Unf,0,C,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-C,MRG2,1,Fen,0,C,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-C,MRG2,2,Unf,0,C,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-C,MRG2,2,Fen,0,C,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-D,MRG1,1,Unf,0,D,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-D,MRG1,1,Fen,0,D,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-D,MRG1,2,Fen,0,D,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-D,MRG1,2,Unf,0,D,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Trailside-0-D,MRG1,3,Trailside,0,D,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-D,MRG2,1,Unf,0,D,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-D,MRG2,1,Fen,0,D,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-D,MRG2,2,Unf,0,D,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-D,MRG2,2,Fen,0,D,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-D,MRG1,1,Unf,0,D,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-D,MRG1,1,Fen,0,D,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-D,MRG1,2,Fen,0,D,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-D,MRG1,2,Unf,0,D,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Trailside-0-D,MRG1,3,Trailside,0,D,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-D,MRG2,1,Unf,0,D,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-D,MRG2,1,Fen,0,D,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-D,MRG2,2,Unf,0,D,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-D,MRG2,2,Fen,0,D,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-D,MRG1,1,Unf,0,D,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-D,MRG1,1,Fen,0,D,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-D,MRG1,2,Fen,0,D,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-D,MRG1,2,Unf,0,D,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Trailside-0-D,MRG1,3,Trailside,0,D,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-D,MRG2,1,Unf,0,D,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-D,MRG2,1,Fen,0,D,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-D,MRG2,2,Unf,0,D,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-D,MRG2,2,Fen,0,D,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-E,MRG1,1,Unf,0,E,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-E,MRG1,1,Fen,0,E,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-E,MRG1,2,Fen,0,E,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-E,MRG1,2,Unf,0,E,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Trailside-0-E,MRG1,3,Trailside,0,E,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-E,MRG2,1,Unf,0,E,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-E,MRG2,1,Fen,0,E,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-E,MRG2,2,Unf,0,E,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-E,MRG2,2,Fen,0,E,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-E,MRG1,1,Unf,0,E,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-E,MRG1,1,Fen,0,E,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-E,MRG1,2,Fen,0,E,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-E,MRG1,2,Unf,0,E,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Trailside-0-E,MRG1,3,Trailside,0,E,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-E,MRG2,1,Unf,0,E,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-E,MRG2,1,Fen,0,E,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-E,MRG2,2,Unf,0,E,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-E,MRG2,2,Fen,0,E,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-E,MRG1,1,Unf,0,E,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-E,MRG1,1,Fen,0,E,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-E,MRG1,2,Fen,0,E,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-E,MRG1,2,Unf,0,E,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Trailside-0-E,MRG1,3,Trailside,0,E,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-E,MRG2,1,Unf,0,E,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-E,MRG2,1,Fen,0,E,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-E,MRG2,2,Unf,0,E,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-E,MRG2,2,Fen,0,E,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-F,MRG1,1,Unf,0,F,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-F,MRG1,2,Fen,0,F,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-F,MRG1,2,Unf,0,F,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Trailside-0-F,MRG1,3,Trailside,0,F,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-F,MRG2,1,Unf,0,F,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-F,MRG2,1,Fen,0,F,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-F,MRG2,2,Unf,0,F,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-F,MRG2,2,Fen,0,F,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-F,MRG1,1,Unf,0,F,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-F,MRG1,2,Fen,0,F,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-F,MRG1,2,Unf,0,F,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Trailside-0-F,MRG1,3,Trailside,0,F,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-F,MRG2,1,Unf,0,F,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-F,MRG2,1,Fen,0,F,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-F,MRG2,2,Unf,0,F,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-F,MRG2,2,Fen,0,F,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-F,MRG1,1,Unf,0,F,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-F,MRG1,2,Fen,0,F,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-F,MRG1,2,Unf,0,F,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Trailside-0-F,MRG1,3,Trailside,0,F,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-F,MRG2,1,Unf,0,F,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-F,MRG2,1,Fen,0,F,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-F,MRG2,2,Unf,0,F,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-F,MRG2,2,Fen,0,F,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-G,MRG1,2,Fen,0,G,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-G,MRG1,2,Unf,0,G,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Trailside-0-G,MRG1,3,Trailside,0,G,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-G,MRG2,2,Unf,0,G,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-G,MRG2,2,Fen,0,G,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-G,MRG1,2,Fen,0,G,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-G,MRG1,2,Unf,0,G,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Trailside-0-G,MRG1,3,Trailside,0,G,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-G,MRG2,2,Unf,0,G,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-G,MRG2,2,Fen,0,G,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-G,MRG1,2,Fen,0,G,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-G,MRG1,2,Unf,0,G,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Trailside-0-G,MRG1,3,Trailside,0,G,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-G,MRG2,2,Unf,0,G,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-G,MRG2,2,Fen,0,G,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-H,MRG1,2,Fen,0,H,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-H,MRG1,2,Unf,0,H,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Trailside-0-H,MRG1,3,Trailside,0,H,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-H,MRG2,2,Unf,0,H,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-H,MRG2,2,Fen,0,H,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-H,MRG1,2,Fen,0,H,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-H,MRG1,2,Unf,0,H,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Trailside-0-H,MRG1,3,Trailside,0,H,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-H,MRG2,2,Unf,0,H,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-H,MRG2,2,Fen,0,H,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-H,MRG1,2,Fen,0,H,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-H,MRG1,2,Unf,0,H,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Trailside-0-H,MRG1,3,Trailside,0,H,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-H,MRG2,2,Unf,0,H,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-H,MRG2,2,Fen,0,H,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-1-A,MRG1,1,Unf,1,A,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-1-A,MRG1,2,Fen,1,A,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-1-A,MRG1,2,Unf,1,A,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Trailside-1-A,MRG1,3,Trailside,1,A,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-1-A,MRG1,1,Fen,1,A,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-1-A,MRG2,1,Unf,1,A,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-1-A,MRG2,1,Fen,1,A,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-1-A,MRG2,2,Fen,1,A,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-1-A,MRG2,3,Unf,1,A,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-1-A,MRG2,2,Unf,1,A,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-1-A,MRG1,1,Unf,1,A,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-1-A,MRG1,2,Fen,1,A,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-1-A,MRG1,2,Unf,1,A,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Trailside-1-A,MRG1,3,Trailside,1,A,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-1-A,MRG1,1,Fen,1,A,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-1-A,MRG2,1,Unf,1,A,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-1-A,MRG2,1,Fen,1,A,0,0,0,0
